ROI,Subject,Session/Partition,LocalizerSize
1,501_FED_20161122_3T1_PL2017,1,37
1,502_FED_20161122_3T1_PL2017,1,37
1,503_FED_20161128_3T2_PL2017,1,37
1,504_FED_20161130_3T2_PL2017,1,37
1,505_FED_20161204_3T2_PL2017,1,37
1,506_FED_20161205_3T2_PL2017,1,37
1,507_FED_20161207_3T2_PL2017,1,37
1,508_FED_20161208_3T2_PL2017,1,37
1,509_FED_20161208_3T2_PL2017,1,37
1,510_FED_20161212_3T2_PL2017,1,37
1,511_POLY12_20161212_3T2_PL2017,1,37
1,512_FED_20161213_3T2_PL2017,1,37
1,513_FED_20161215_3T2_PL2017,1,37
1,514_FED_20161215_3T2_PL2017,1,37
1,515_FED_20161216_3T2_PL2017,1,37
1,517_FED_20161219_3T2_PL2017,1,37
1,518_FED_20161219_3T2_PL2017,1,37
1,519_FED_20161220_3T2_PL2017,1,37
1,520_FED_20161227a_3T2_PL2017,1,37
1,521_FED_20161228a_3T2_PL2017,1,37
1,522_FED_20161228e_3T2_PL2017,1,37
1,523_FED_20161227b_3T2_PL2017,1,37
1,524_FED_20180802a_3T2_PL2017,1,37
1,524_FED_20170105a_3T2_PL2017,1,37
1,525_FED_20170109a_3T2_PL2017,1,37
1,526_FED_20170111a_3T2_PL2017,1,37
1,527_FED_20170113a_3T2_PL2017,1,37
1,528_FED_20170116a_3T2_PL2017,1,37
1,529_FED_20170116b_3T2_PL2017,1,37
1,530_FED_20170114a_3T2_PL2017,1,37
1,531_FED_20170117a_3T2_PL2017,1,37
1,532_FED_20170118b_3T2_PL2017,1,37
1,533_FED_20170119_3T2_PL2017,1,37
1,534_FED_20170119b_3T2_PL2017,1,37
1,535_FED_20170123b_3T2_PL2017,1,37
1,536_FED_20170125a_3T2_PL2017,1,37
1,537_FED_20170126b_3T2_PL2017,1,37
1,538_FED_20170127_3T2_PL2017,1,37
1,539_FED_20170127a_3T2_PL2017,1,37
1,540_FED_20170201a_3T2_PL2017,1,37
1,541_FED_20170203b_3T2_PL2017,1,37
1,541_FED_20170615a_3T2_PL2017,1,37
1,542_FED_20170207_3T2_PL2017,1,37
